Family,Sub-Family,Solution Capability,Capability Narrative (Paramified),Capability Narrative (Plain Text),Responsible Role,Integrator Role,Integrator Responsibility (Paramified),Integrator Responsibility (Plain Text),End User Role,End User Responsibility (Paramified),End User Responsibility (Plain Text),Implementation Status,Stack Inheritable,Provider Origination,Integrator Origination,End User Origination,Main Component,Target Date,Target Date Remarks,Target Date Remarks (Plain Text),Suggested Mappings,Applicable Products,Applicable Collections,Stack,Reviewed By,Reviewed By Email,Reviewed At,Reviewer Notes,Approval Status,Reviewers,Evidences
Compliance Program,DoD General Readiness,BCAP,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" has been granted access to connect to the BCAP upon authorization. ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" prohibits the connections to the products deployed within the DoD Community boundary without an Authority to Connect (ATC) using an authorized Boundary Cloud Access Point (BCAP).""}]}]","#THIS ORGANIZATION has been granted access to connect to the BCAP upon authorization. #THIS ORGANIZATION prohibits the connections to the products deployed within the DoD Community boundary without an Authority to Connect (ATC) using an authorized Boundary Cloud Access Point (BCAP).
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"gr-6_dod_smt+DOD_GR
gr-7_dod_smt.b+DOD_GR",,,,,,,,NOT_SET,,
Logical Identity & Access,Authentication,Authentication Required,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" requires identification and authentication before any accessibility, configuration, or management actions can be taken on production systems within its authorization boundary. When a session is terminated users must re-authenticate.""}]}]","#THIS ORGANIZATION requires identification and authentication before any accessibility, configuration, or management actions can be taken on production systems within its authorization boundary. When a session is terminated users must re-authenticate.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.1.1_smt.a+NIST_800_171_REV_2
3.5.1_smt.a+NIST_800_171_REV_2
3.5.2_smt.a+NIST_800_171_REV_2
3.5.3e_smt.c+NIST_800_172_REV_2
ac-14_smt.a+NIST_800_53_REV_4
ac-14_smt.a+NIST_800_53_REV_5
ac-14_smt.b+NIST_800_53_REV_4
ac-14_smt.b+NIST_800_53_REV_5
ac-17.10_smt+NIST_800_53_REV_5
ia-10_smt+NIST_800_53_REV_5
ia-11_smt+NIST_800_53_REV_5
ia-3.1_smt+NIST_800_53_REV_5
ia-9_smt+NIST_800_53_REV_5
ma-4.4_smt.a+NIST_800_53_REV_5
sc-18.4_smt+NIST_800_53_REV_5",,,,,,,,NOT_SET,,
Logical Identity & Access,Authentication,Unique Identifiers:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" enforces unique user identification for ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" through ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", using full names or variations with initials or numbers in case of duplicates.""}]}]","#THIS ORGANIZATION enforces unique user identification for #THIS SYSTEM through @unknown, using full names or variations with initials or numbers in case of duplicates.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.5.5_smt.a+NIST_800_171_REV_2
3.5.5_smt.b+NIST_800_171_REV_2
IAM-12_smt+ADOBE_CCF_OS_V5
au-16.1_smt+NIST_800_53_REV_5
ia-12_smt.a+NIST_800_53_REV_5
ia-12_smt.b+NIST_800_53_REV_5
ia-2.8_smt+NIST_800_53_REV_4
ia-2.8_smt+NIST_800_53_REV_5
ia-2_smt+NIST_800_53_REV_4
ia-2_smt+NIST_800_53_REV_5
ia-4.4_smt+NIST_800_53_REV_4
ia-4.4_smt+NIST_800_53_REV_5
ia-4.9_smt+NIST_800_53_REV_5
ia-4_smt.a+NIST_800_53_REV_4
ia-4_smt.a+NIST_800_53_REV_5
ia-4_smt.b+NIST_800_53_REV_4
ia-4_smt.b+NIST_800_53_REV_5
ia-4_smt.c+NIST_800_53_REV_4
ia-4_smt.c+NIST_800_53_REV_5
ia-4_smt.d+NIST_800_53_REV_4
ia-4_smt.d+NIST_800_53_REV_5
ia-9_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Network Operations,Interconnections,Unclassified National Security Connections,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" prohibits unauthorized connections to its products deployed within the Department of Defense (DoD) community boundary. Any external systems must obtain an Authority to Connect (ATC) through an authorized Boundary Cloud Access Point (BCAP) in order to connect.""}]}]","#THIS ORGANIZATION prohibits unauthorized connections to its products deployed within the Department of Defense (DoD) community boundary. Any external systems must obtain an Authority to Connect (ATC) through an authorized Boundary Cloud Access Point (BCAP) in order to connect.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"ca-3.1_smt+NIST_800_53_REV_4
sc-7.25_smt+NIST_800_53_REV_5",,,,,,,,NOT_SET,,
People Resources,Workforce Agreements,Post-employment requirement acknowledgment,"[{""type"":""p"",""children"":[{""text"":""Terminated employees must acknowledge post-employment requirements via ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", recorded in the system.""}]}]","Terminated employees must acknowledge post-employment requirements via @unknown, recorded in the system.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_CORPORATE,,,Offboarding Process,,,,"ps-4.1_smt.b+NIST_800_53_REV_4
ps-4.1_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Third-Party Management,Service Provider Agreements,Service Level Agreements,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Vendor Risk Management Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" ensures ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" has SLAs with each Cloud Service Provider (CSP) as part of ""},{""type"":""mention"",""value"":""Vendor Risk Management Process:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", consistent with data protection requirements and processing agreements.""}]}]","The @GRC Admin ensures #THIS ORGANIZATION has SLAs with each Cloud Service Provider (CSP) as part of @Vendor Risk Management Process, consistent with data protection requirements and processing agreements.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Vendor Risk Management Process,,,,"TPM-10_smt+ADOBE_CCF_OS_V5
ac-20.1_smt.b+NIST_800_53_REV_4
ac-20.1_smt.b+NIST_800_53_REV_5
ca-3_smt.a+NIST_800_53_REV_4
ca-3_smt.a+NIST_800_53_REV_5
sa-9_smt.c+NIST_800_53_REV_4
sa-9_smt.c+NIST_800_53_REV_5
sr-3.3_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Compliance Program,Compliance Documentation,System Security Plan Significant Changes,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" will notify the ""},{""type"":""mention"",""value"":""Authorizing Official:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" and ""},{""type"":""mention"",""value"":""FedRAMP Project Management Office:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" of significant changes to ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" and re-engage the ""},{""type"":""mention"",""value"":""Auditor:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to analyze the change. The ""},{""type"":""mention"",""value"":""ISSO:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" will update the security authorization as necessary every three years or for significant changes.""}]},{""type"":""p"",""children"":[{""text"":""Significant changes include:""}]},{""type"":""ul"",""children"":[{""type"":""li"",""children"":[{""text"":""FIPS 199 category changes,""}]},{""type"":""li"",""children"":[{""text"":""hardware/software changes,""}]},{""type"":""li"",""children"":[{""text"":""architecture/design changes,""}]},{""type"":""li"",""children"":[{""text"":""database architecture changes,""}]},{""type"":""li"",""children"":[{""text"":""interconnection changes,""}]},{""type"":""li"",""children"":[{""text"":""privileged role changes,""}]},{""type"":""li"",""children"":[{""text"":""laws/policies changes,""}]},{""type"":""li"",""children"":[{""text"":""authentication/crypto changes, and""}]},{""type"":""li"",""children"":[{""text"":""Cloud provider changes""}]}]},{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""ISSO:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" must also communicate changes and testing results to customers as mandated by the ""},{""type"":""mention"",""value"":""Authorizing Official:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","#THIS ORGANIZATION will notify the @Authorizing Official and @FedRAMP Project Management Office of significant changes to #THIS SYSTEM and re-engage the @Auditor to analyze the change. The @ISSO will update the security authorization as necessary every three years or for significant changes.
Significant changes include:
FIPS 199 category changes,
hardware/software changes,
architecture/design changes,
database architecture changes,
interconnection changes,
privileged role changes,
laws/policies changes,
authentication/crypto changes, and
Cloud provider changes

The @ISSO must also communicate changes and testing results to customers as mandated by the @Authorizing Official.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,System Security Plan,,,,"ca-6_smt.c+NIST_800_53_REV_4
ca-6_smt.e+NIST_800_53_REV_5
pl-7_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Entity Governance,Governance Documents,Procedure Communication,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" develops ""},{""type"":""mention"",""value"":""Data Protection Procedures:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" hosted on a secure ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" instance to comply with ""},{""type"":""mention"",""value"":""Data Protection Policies:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". ""},{""type"":""mention"",""value"":""Data Protection Procedures:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" are available to authorized personnel through logical access controls within ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","#THIS ORGANIZATION develops @Data Protection Procedures hosted on a secure @unknown instance to comply with @Data Protection Policies. @Data Protection Procedures are available to authorized personnel through logical access controls within @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Data Protection Procedures,,,,"3.1.9_smt.b+NIST_800_171_REV_2
3.2.1_smt.b+NIST_800_171_REV_2
3.2.1_smt.d+NIST_800_171_REV_2
SG-05_smt+ADOBE_CCF_OS_V5
ac-1_smt.a+NIST_800_53_REV_4
ac-1_smt.a.2+NIST_800_53_REV_5
at-1_smt.a+NIST_800_53_REV_4
at-1_smt.a.2+NIST_800_53_REV_5
au-1_smt.a+NIST_800_53_REV_4
au-1_smt.a.2+NIST_800_53_REV_5
ca-1_smt.a+NIST_800_53_REV_4
ca-1_smt.a.2+NIST_800_53_REV_5
cm-1_smt.a+NIST_800_53_REV_4
cm-1_smt.a.2+NIST_800_53_REV_5
cp-1_smt.a+NIST_800_53_REV_4
cp-1_smt.a.2+NIST_800_53_REV_5
ia-1_smt.a+NIST_800_53_REV_4
ia-1_smt.a.2+NIST_800_53_REV_5
ir-1_smt.a+NIST_800_53_REV_4
ir-1_smt.a.2+NIST_800_53_REV_5
ma-1_smt.a+NIST_800_53_REV_4
ma-1_smt.a.2+NIST_800_53_REV_5
mp-1_smt.a+NIST_800_53_REV_4
mp-1_smt.a.2+NIST_800_53_REV_5
pe-1_smt.a+NIST_800_53_REV_4
pe-1_smt.a.2+NIST_800_53_REV_5
pl-1_smt.a+NIST_800_53_REV_4
pl-1_smt.a.2+NIST_800_53_REV_5
ps-1_smt.a+NIST_800_53_REV_4
ps-1_smt.a.2+NIST_800_53_REV_5
ps-7_smt.a+NIST_800_53_REV_4
ra-1_smt.a+NIST_800_53_REV_4
ra-1_smt.a.2+NIST_800_53_REV_5
sa-1_smt.a+NIST_800_53_REV_4
sa-1_smt.a.2+NIST_800_53_REV_5
sc-1_smt.a+NIST_800_53_REV_4
sc-1_smt.a.2+NIST_800_53_REV_5
si-1_smt.a+NIST_800_53_REV_4
si-1_smt.a.2+NIST_800_53_REV_5
sr-1_smt.a.2+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Logical Identity & Access,Logical Account Management,Logical Access Revocation,"[{""type"":""p"",""children"":[{""text"":""Role or job changes submitted in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" trigger the ""},{""type"":""mention"",""value"":""Offboarding Process:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", executed within 24 hours by the ""},{""type"":""mention"",""value"":""IT Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" and the user's manager.""}]},{""type"":""p"",""children"":[{""text"":""Credentials in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" are revoked and tasks are launched in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to revoke other role permissions.""}]},{""type"":""p"",""children"":[{""text"":""To remove access for job changes, the user's manager requests it in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to the ""},{""type"":""mention"",""value"":""IT Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","Role or job changes submitted in @unknown trigger the @Offboarding Process, executed within 24 hours by the @IT Admin and the user's manager.
Credentials in @unknown are revoked and tasks are launched in @unknown to revoke other role permissions.
To remove access for job changes, the user's manager requests it in @unknown to the @IT Admin.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Offboarding Process,,,,"3.4.5_smt.h+NIST_800_171_REV_2
3.9.2_smt.a+NIST_800_171_REV_2
3.9.2_smt.b+NIST_800_171_REV_2
3.9.2e_smt.d+NIST_800_172_REV_2
IAM-04_smt+ADOBE_CCF_OS_V5
ac-2.7_smt.d+NIST_800_53_REV_5
ac-2_smt.f+NIST_800_53_REV_4
ac-2_smt.f+NIST_800_53_REV_5
ac-2_smt.h+NIST_800_53_REV_4
ac-2_smt.h+NIST_800_53_REV_5
ac-2_smt.k+NIST_800_53_REV_4
ac-2_smt.k+NIST_800_53_REV_5
ac-2_smt.l+NIST_800_53_REV_5
iam-06_smt+KSI_PHASE_1
ps-4.2_smt+NIST_800_53_REV_4
ps-4.2_smt+NIST_800_53_REV_5
ps-4_smt.a+NIST_800_53_REV_4
ps-4_smt.a+NIST_800_53_REV_5
ps-4_smt.b+NIST_800_53_REV_4
ps-4_smt.b+NIST_800_53_REV_5
ps-4_smt.e+NIST_800_53_REV_4
ps-4_smt.e+NIST_800_53_REV_5
ps-5_smt.b+NIST_800_53_REV_4
ps-5_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Logical Identity & Access,System Service Accounts,Shared Account Credential Revocation,"[{""type"":""p"",""children"":[{""text"":""When user employment ends or changes roles, ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" notifies their manager. A task in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" is sent to group owners to change credentials via ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" which are propagated to components. The group owners change group permissions and close the ticket.""}]}]","When user employment ends or changes roles, @unknown notifies their manager. A task in @unknown is sent to group owners to change credentials via @unknown which are propagated to components. The group owners change group permissions and close the ticket.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Offboarding Process,,,,"IAM-08_smt+ADOBE_CCF_OS_V5
ac-2.10_smt+NIST_800_53_REV_4
ac-2_smt.k+NIST_800_53_REV_5
iam-06_smt+KSI_PHASE_1",,All Jake's Test Offerings,,,,,,NOT_SET,,
Network Operations,Services,Peer-to-Peer File Sharing,"[{""type"":""p"",""children"":[{""text"":""Peer-to-peer file sharing in production for ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" is prohibited. The ""},{""type"":""mention"",""value"":""DevOps Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" implements firewall rules to restrict peer-to-peer inbound and outbound use. Peer-to-peer file sharing must be approved by the ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" and documented in the ""},{""type"":""mention"",""value"":""Configuration Management Plan:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" if necessary.""}]}]","Peer-to-peer file sharing in production for #THIS SYSTEM is prohibited. The @DevOps Admin implements firewall rules to restrict peer-to-peer inbound and outbound use. Peer-to-peer file sharing must be approved by the @Change Control Board and documented in the @Configuration Management Plan if necessary.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Configuration Management Plan,,,,"cm-10_smt.c+NIST_800_53_REV_4
cm-10_smt.c+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,Infrastructure Design,Virtual Machine Security:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform with virtual machine security features.""}]}]","#THIS SYSTEM uses @unknown, a #PROGRAM TYPE-compliant cloud platform with virtual machine security features.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.13.4_smt.a+NIST_800_171_REV_2
3.13.4e_smt.a+NIST_800_172_REV_2
sc-4_smt+NIST_800_53_REV_4
sc-4_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Data Protection,Cryptographic Key Administration,Cryptographic Key Replacement:,"[{""type"":""p"",""children"":[{""text"":""Administrators can obtain a new key or token through standard corporate processes if lost. ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" stores Storage Account Keys in a secure Secret Store that monitors access to secrets. Cryptography is used for remote access sessions and link encryption. Data loss due to user key loss is not a concern due to geo-redundant mirroring of services in ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","Administrators can obtain a new key or token through standard corporate processes if lost. #THIS SYSTEM stores Storage Account Keys in a secure Secret Store that monitors access to secrets. Cryptography is used for remote access sessions and link encryption. Data loss due to user key loss is not a concern due to geo-redundant mirroring of services in #THIS SYSTEM.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"sc-12.1_smt+NIST_800_53_REV_4
sc-12.1_smt+NIST_800_53_REV_5
sc-12.6_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Compliance Program,Compliance Roles & Responsibilities,Third-Party Assessment Organization (3PAO) Assessment,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" contracts a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-accredited ""},{""type"":""mention"",""value"":""Auditor:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" for annual assessments of their Federal service offering. This includes developing a security assessment plan, assessing security controls, producing a security assessment report, and providing results to the ""},{""type"":""mention"",""value"":""Authorizing Official:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". Ongoing external security assessments include annual security assessment, announced penetration testing, and vulnerability scanning by a 3PAO. The assessments are conducted in accordance with NIST SP 800-53 guidelines.""}]}]","#THIS ORGANIZATION contracts a #PROGRAM TYPE-accredited @Auditor for annual assessments of their Federal service offering. This includes developing a security assessment plan, assessing security controls, producing a security assessment report, and providing results to the @Authorizing Official. Ongoing external security assessments include annual security assessment, announced penetration testing, and vulnerability scanning by a 3PAO. The assessments are conducted in accordance with NIST SP 800-53 guidelines.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"ca-2.1_smt+NIST_800_53_REV_4
ca-2.1_smt+NIST_800_53_REV_5
ca-2.2_smt+NIST_800_53_REV_4
ca-2.2_smt+NIST_800_53_REV_5
ca-2.3_smt+NIST_800_53_REV_4
ca-2.3_smt+NIST_800_53_REV_5
ca-2_smt.a+NIST_800_53_REV_5
ca-7.1_smt+NIST_800_53_REV_4
ca-7.1_smt+NIST_800_53_REV_5",,,,,,,,NOT_SET,,
Compliance Program,DoD General Readiness,Connection Security & Availability:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" leverages ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which has multiple external authoritative DNS servers to enhance fault tolerance. ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" has configured internal recursive DNS servers to process internal DNS queries for external resources.""}]},{""type"":""p"",""children"":[{""text"":""All routing is through a private connection and there is no need for commercial routing through the NIPRNet. ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" does not rely on any DISN/DODIN internet-based capabilities and therefore will continue to function in the event that DISN/DODIN is not available.""}]}]","#THIS SYSTEM leverages @unknown, which has multiple external authoritative DNS servers to enhance fault tolerance. #THIS ORGANIZATION has configured internal recursive DNS servers to process internal DNS queries for external resources.
All routing is through a private connection and there is no need for commercial routing through the NIPRNet. #THIS SYSTEM does not rely on any DISN/DODIN internet-based capabilities and therefore will continue to function in the event that DISN/DODIN is not available.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"gr-2_dod_smt+DOD_GR
gr-7_dod_smt.a+DOD_GR",,All Jake's Test Offerings,,,,,,NOT_SET,,
Logical Identity & Access,Logical Account Management,Logical Access Provisioning:,"[{""type"":""p"",""children"":[{""text"":""Admins must request privileged access via ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". Once approved by the role owner, the ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" provisions access using ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which syncs with ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" via ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","Admins must request privileged access via @unknown. Once approved by the role owner, the @Change Control Board provisions access using @unknown, which syncs with @unknown via @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.4.5_smt.g+NIST_800_171_REV_2
3.4.5_smt.h+NIST_800_171_REV_2
IAM-01_smt+ADOBE_CCF_OS_V5
ac-17.4_smt.a+NIST_800_53_REV_4
ac-17.4_smt.a+NIST_800_53_REV_5
ac-17_smt.b+NIST_800_53_REV_4
ac-17_smt.b+NIST_800_53_REV_5
ac-2.7_smt.b+NIST_800_53_REV_4
ac-2.7_smt.b+NIST_800_53_REV_5
ac-2_smt.e+NIST_800_53_REV_4
ac-2_smt.e+NIST_800_53_REV_5
ac-2_smt.f+NIST_800_53_REV_4
ac-2_smt.f+NIST_800_53_REV_5
ac-2_smt.i+NIST_800_53_REV_4
ac-2_smt.i+NIST_800_53_REV_5
ac-2_smt.l+NIST_800_53_REV_5
ac-3.4_smt.b+NIST_800_53_REV_5
ac-3_smt+NIST_800_53_REV_4
ac-3_smt+NIST_800_53_REV_5
ac-6.1_smt.a+NIST_800_53_REV_5
ac-6.1_smt.b+NIST_800_53_REV_5
cm-5_smt+NIST_800_53_REV_4
cm-5_smt+NIST_800_53_REV_5
ia-12.1_smt+NIST_800_53_REV_5
ia-4.9_smt+NIST_800_53_REV_5
iam-05_smt+KSI_PHASE_1",,All Jake's Test Offerings,,,,,,NOT_SET,,
Logical Identity & Access,Session Management,Logout Message,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" displays an explicit logout message upon successful session termination.""}]}]","#THIS SYSTEM displays an explicit logout message upon successful session termination.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"ac-12.1_smt+NIST_800_53_REV_5
ac-12.1_smt.b+NIST_800_53_REV_4
ac-12.2_smt+NIST_800_53_REV_5",,,,,,,,NOT_SET,,
Network Operations,Network Operations,Intrusion Detection Systems:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" configures ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to inspect data from ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","The @Change Control Board configures @unknown to inspect data from @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.11.2e_smt.a+NIST_800_172_REV_2
3.13.1_smt.d+NIST_800_171_REV_2
3.14.6_smt.a+NIST_800_171_REV_2
3.14.6_smt.b+NIST_800_171_REV_2
3.14.6e_smt.c+NIST_800_172_REV_2
3.14.7_smt.a+NIST_800_171_REV_2
SM-26_smt+ADOBE_CCF_OS_V5
ac-4.4_smt+NIST_800_53_REV_5
ra-10_smt.a+NIST_800_53_REV_5
sc-7.4_smt.h+NIST_800_53_REV_5
sc-7.9_smt.a+NIST_800_53_REV_5
si-4.10_smt+NIST_800_53_REV_5
si-4.15_smt+NIST_800_53_REV_5
si-4.25_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Network Operations,Services,VoIP,"[{""type"":""p"",""children"":[{""text"":""VoIP is not applicable to ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" as it is not used or enabled.""}]}]","VoIP is not applicable to #THIS ORGANIZATION as it is not used or enabled.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.13.14_smt.a+NIST_800_171_REV_2
3.13.14_smt.b+NIST_800_171_REV_2
SM-17_smt+ADOBE_CCF_OS_V5
sc-19_smt.a+NIST_800_53_REV_4
sc-19_smt.b+NIST_800_53_REV_4",,,,,,,,NOT_SET,,
